Time,T1,T2,T3,T4,T5,T6,T7,T8
09:09:53,25.6,21.1,21.0,21.1,21.0,21.2,21.2,21.2
09:09:58,25.4,21.0,21.0,21.1,21.0,21.2,21.2,21.1
09:10:04,25.4,21.0,21.0,21.1,21.0,21.2,21.2,21.1
09:10:09,25.3,21.0,21.0,21.1,21.0,21.2,21.2,21.1
09:10:14,25.3,21.0,21.0,21.1,21.0,21.2,21.2,21.1
09:10:19,25.2,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:10:24,25.2,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:10:33,25.2,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:10:38,25.1,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:10:44,25.0,21.0,20.9,21.0,21.0,21.0,21.1,21.0
09:10:49,25.0,21.0,20.9,21.0,21.0,21.1,21.1,21.0
09:10:54,24.9,21.0,20.9,21.0,21.0,21.1,21.1,21.0
09:10:59,24.9,21.0,20.9,21.0,21.0,21.1,21.1,21.0
09:11:04,24.9,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:10,24.9,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:15,24.9,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:20,24.8,21.0,21.0,21.1,21.0,21.2,21.2,21.1
09:11:25,24.8,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:30,24.8,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:35,24.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:11:40,24.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:11:45,24.6,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:50,24.6,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:11:56,24.6,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:01,24.6,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:12:06,25.1,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:12:11,25.5,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:16,25.6,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:21,25.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:26,25.8,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:31,25.8,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:36,25.8,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:42,25.8,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:47,25.8,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:12:52,25.8,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:12:57,25.7,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:13:02,25.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:07,25.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:12,25.6,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:17,25.6,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:22,25.6,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:28,25.5,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:13:33,25.5,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:38,25.4,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:44,25.4,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:49,25.4,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:13:54,25.3,21.1,21.0,21.1,21.0,21.2,21.2,21.1
09:13:59,25.3,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:05,25.3,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:10,25.2,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:15,25.2,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:20,25.2,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:25,25.1,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:14:30,25.1,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:35,25.1,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:40,25.0,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:14:45,25.0,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:51,25.0,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:14:56,25.0,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:15:01,25.0,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:06,24.9,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:15:11,24.9,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:16,24.9,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:21,24.8,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:15:26,24.8,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:31,24.8,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:37,24.8,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:42,24.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:15:47,24.7,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:15:52,24.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:15:57,24.7,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:16:02,24.6,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:16:07,24.6,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:16:12,24.6,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:16:17,24.5,21.1,21.0,21.1,21.0,21.1,21.1,21.1
09:31:21,24.5,21.1,21.0,21.1,21.0,21.1,21.2,21.1
09:47:16,21.9,21.0,21.0,21.1,21.0,21.1,21.1,21.1
10:03:12,21.4,21.0,21.1,21.1,21.1,21.2,21.2,21.1
10:03:18,21.3,21.0,21.0,21.1,21.1,21.2,21.2,21.1
10:20:40,21.2,21.0,21.0,21.1,21.1,21.2,21.1,21.1
10:36:17,21.2,21.0,21.0,21.2,21.1,21.2,21.2,21.2
10:54:12,21.1,21.0,21.0,21.1,21.1,21.2,21.1,21.1
10:54:17,21.2,21.0,21.1,21.2,21.2,21.2,21.2,21.2
10:56:24,21.2,21.1,21.1,21.2,21.2,21.3,21.3,21.3
10:56:29,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:56:35,21.2,21.1,21.1,21.2,21.2,21.3,21.3,21.3
10:56:40,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:56:45,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:56:50,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:56:55,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:00,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:05,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:10,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:57:16,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:21,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:57:26,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:31,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:36,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:57:41,21.2,21.0,21.1,21.2,21.2,21.3,21.2,21.2
10:57:46,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:57:51,21.2,21.0,21.1,21.2,21.2,21.3,21.2,21.3
10:57:56,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:58:02,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:58:07,21.2,21.1,21.1,21.2,21.2,21.3,21.3,21.3
10:58:12,21.2,21.0,21.1,21.3,21.2,21.3,21.2,21.3
10:58:17,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:22,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:27,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:32,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:37,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:42,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:48,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:58:53,21.2,21.1,21.2,21.2,21.2,21.3,21.2,21.3
10:58:58,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:59:03,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:59:09,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:59:14,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:59:19,21.2,21.0,21.1,21.3,21.2,21.3,21.2,21.3
10:59:24,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:59:29,21.2,21.0,21.1,21.2,21.2,21.3,21.2,21.3
10:59:34,21.2,21.1,21.1,21.3,21.2,21.3,21.2,21.3
10:59:40,21.2,21.1,21.1,21.3,21.2,21.3,21.3,21.3
10:59:45,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
10:59:50,21.2,21.0,21.1,21.2,21.2,21.2,21.2,21.3
10:59:55,21.2,21.1,21.1,21.2,21.2,21.3,21.3,21.3
11:00:00,21.2,21.1,21.1,21.2,21.2,21.2,21.3,21.3
11:00:05,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
11:00:10,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
11:00:15,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
11:00:21,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
11:00:26,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
11:00:31,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
11:00:36,21.2,21.1,21.1,21.2,21.3,21.2,21.2,21.3
11:00:41,21.2,21.1,21.1,21.2,21.2,21.3,21.2,21.3
11:00:46,21.2,21.1,21.1,21.3,21.3,21.3,21.2,21.3
11:00:51,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
11:00:56,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
11:01:01,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
11:01:07,21.2,21.1,21.1,21.2,21.3,21.3,21.3,21.2
11:01:12,21.2,21.0,21.1,21.2,21.3,21.3,21.2,21.3
11:01:17,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
11:01:22,21.2,21.1,21.1,21.2,21.3,21.3,21.3,21.2
11:01:27,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
11:02:01,21.2,21.1,21.1,21.2,21.3,21.3,21.2,21.3
