Time,T1,T2,T3,T4,T5,T6,T7,T8
1719515584.67387,23.2,22.7,22.3,24.1,24.2,24.0,23.1,22.7
1719515589.786342,23.3,22.8,22.4,25.0,24.8,24.8,23.6,22.8
1719515594.8910022,23.3,23.0,22.5,26.0,25.5,25.7,24.3,22.9
1719515600.4185548,23.1,23.2,22.6,27.2,26.4,26.8,25.0,22.5
1719515605.5280168,23.1,23.4,22.7,28.1,27.0,27.6,25.7,22.8
1719515610.642283,23.3,23.7,22.9,29.2,27.8,28.6,26.5,23.0
1719515615.746527,23.4,24.0,23.0,30.3,28.6,29.7,27.2,23.0
1719515620.855862,23.3,24.4,23.0,31.5,29.5,30.9,28.1,23.1
1719515625.963847,23.6,24.9,23.4,32.4,30.2,31.7,28.9,23.2
1719515631.170111,23.7,25.3,23.6,33.4,31.0,32.7,29.7,23.3
1719515636.2825978,23.7,25.9,23.8,34.4,31.7,33.7,30.4,23.3
1719515641.391767,23.9,26.5,23.8,35.5,32.5,34.8,31.3,23.5
1719515646.507165,24.2,27.2,24.3,36.3,33.1,35.6,32.0,23.7
1719515651.614479,24.5,28.0,24.6,37.2,33.8,36.5,32.7,23.9
1719515656.726133,25.0,28.9,25.0,38.1,34.5,37.4,33.4,24.2
1719515661.830029,25.3,29.7,25.2,39.1,35.2,38.4,34.2,24.3
1719515666.943417,25.6,30.5,25.5,39.8,35.8,39.1,34.8,24.5
1719515672.054432,26.0,31.5,25.9,40.6,36.4,39.9,35.5,24.8
1719515677.16609,26.4,32.4,26.3,41.2,36.9,40.5,36.0,25.0
1719515682.2743099,27.0,33.6,26.8,41.6,37.2,41.0,36.5,25.3
1719515687.382563,27.4,34.4,27.1,41.7,37.3,41.2,36.8,25.5
1719515692.49211,27.9,35.3,27.5,41.7,37.2,41.3,36.9,25.7
1719515697.603799,28.4,36.3,27.9,41.5,37.1,41.2,36.9,25.9
1719515702.7144089,29.0,37.3,28.3,41.2,37.0,41.0,36.8,26.2
1719515707.825878,29.4,38.1,28.6,41.0,36.8,40.8,36.7,26.4
1719515707.935377,29.9,39.0,28.9,40.6,36.5,40.5,36.5,1.0
1719515753.151786,33.6,44.8,31.3,38.1,34.6,38.4,34.7,27.9
