Time,T1,T2,T3,T4,T5,T6,T7,T8
15:50:12,33.8,35.9,28.5,25.1,26.3,28.3,25.7,26.3
15:50:17,33.8,35.8,28.6,25.1,26.3,28.3,25.7,26.2
15:50:22,33.8,35.8,28.5,25.1,26.3,28.2,25.7,26.3
15:50:27,33.8,35.8,28.5,25.1,26.3,28.2,25.7,26.3
15:50:33,33.8,35.7,28.5,25.1,26.3,28.2,25.7,26.3
15:50:38,33.8,35.7,28.5,25.1,26.3,28.2,25.7,26.3
15:50:43,33.8,35.7,28.5,25.1,26.3,28.2,25.7,26.3
15:50:48,33.7,35.6,28.5,25.1,26.3,28.2,25.7,26.2
15:50:53,33.7,35.6,28.5,25.0,26.3,28.2,25.7,26.2
15:50:58,33.7,35.6,28.5,25.1,26.3,28.2,25.7,26.2
15:51:03,33.7,35.5,28.5,25.0,26.3,28.2,25.6,26.2
15:51:08,33.7,35.5,28.4,25.0,26.3,28.2,25.7,26.2
15:51:13,33.7,35.5,28.4,25.0,26.3,28.2,25.7,26.2
15:51:19,33.6,35.5,28.4,25.0,26.3,28.2,25.6,26.2
15:51:24,33.6,35.4,28.4,25.0,26.3,28.2,25.6,26.2
15:51:29,33.6,35.4,28.4,25.0,26.3,28.2,25.6,26.2
15:51:34,33.6,35.4,28.4,25.0,26.3,28.2,25.6,26.2
15:51:40,33.5,35.3,28.4,25.0,26.3,28.1,25.6,26.2
15:51:45,33.5,35.3,28.4,25.0,26.3,28.2,25.6,26.2
15:51:50,33.5,35.3,28.4,25.0,26.3,28.1,25.6,26.2
15:51:55,33.5,35.3,28.4,25.0,26.3,28.1,25.6,26.2
15:52:00,33.5,35.2,28.3,25.0,26.3,28.1,25.6,26.1
15:52:06,33.4,35.2,28.3,25.0,26.3,28.1,25.6,26.2
15:52:11,33.4,35.2,28.3,25.0,26.3,28.1,25.6,26.1
15:52:16,33.4,35.1,28.3,25.0,26.3,28.1,25.6,26.2
15:52:21,33.4,35.1,28.3,25.0,26.3,28.1,25.6,26.1
15:52:26,33.4,35.1,28.3,25.0,26.3,28.1,25.6,26.1
15:52:31,33.4,35.1,28.3,25.0,26.3,28.1,25.6,26.1
15:52:36,33.3,35.0,28.3,25.0,26.2,28.1,25.6,26.1
15:52:41,33.3,35.0,28.2,25.0,26.3,28.1,25.6,26.1
15:52:47,33.3,35.0,28.3,25.0,26.2,28.1,25.6,26.1
15:52:52,33.3,35.0,28.3,25.0,26.3,28.1,25.6,26.1
15:52:57,33.3,35.0,28.2,25.0,26.2,28.1,25.6,26.1
15:53:02,33.3,34.9,28.2,25.0,26.2,28.1,25.6,26.1
15:53:07,33.2,34.9,28.2,25.0,26.2,28.1,25.6,26.1
15:53:12,33.2,34.9,28.2,25.0,26.2,28.1,25.6,26.0
15:53:17,33.2,34.8,28.2,25.0,26.2,28.1,25.6,26.1
15:53:22,33.2,34.8,28.2,25.0,26.2,28.1,25.6,26.1
15:53:28,33.2,34.8,28.2,25.0,26.2,28.1,25.6,26.0
15:53:33,33.1,34.8,28.2,25.0,26.3,28.0,25.6,26.1
15:53:38,33.1,34.7,28.2,25.0,26.2,28.0,25.6,26.0
16:10:53,33.1,34.7,28.1,25.0,26.2,28.1,25.6,26.0
